"범죄별","발생지역별","시점","범죄발생지역",
"재산범죄","세종","2019 년","2735",
"재산범죄","세종","2020 년","2887",
"재산범죄","경기","2014 년","135456",
"재산범죄","경기","2015 년","140213",
"재산범죄","경기","2016 년","132549",
"재산범죄","경기","2017 년","127292",
"재산범죄","경기","2018 년","137837",
"재산범죄","경기","2019 년","149834",
"재산범죄","경기","2020 년","160479",
"재산범죄","강원","2014 년","15373",
"재산범죄","강원","2015 년","15870",
"재산범죄","강원","2016 년","15368",
"재산범죄","강원","2017 년","14566",
"재산범죄","강원","2018 년","14419",
"재산범죄","강원","2019 년","16202",
"재산범죄","강원","2020 년","16495",
"재산범죄","충북","2014 년","17312",
"재산범죄","충북","2015 년","17597",
"재산범죄","충북","2016 년","16294",
"재산범죄","충북","2017 년","15981",
"재산범죄","충북","2018 년","17200",
"재산범죄","충북","2019 년","18768",
"재산범죄","충북","2020 년","19037",
"재산범죄","충남","2014 년","25060",
"재산범죄","충남","2015 년","25036",
"재산범죄","충남","2016 년","22725",
"재산범죄","충남","2017 년","21983",
"재산범죄","충남","2018 년","24075",
"재산범죄","충남","2019 년","25242",
"재산범죄","충남","2020 년","25822",
"재산범죄","전북","2014 년","19119",
"재산범죄","전북","2015 년","21422",
"재산범죄","전북","2016 년","18932",
"재산범죄","전북","2017 년","16766",
"재산범죄","전북","2018 년","17899",
"재산범죄","전북","2019 년","18607",
"재산범죄","전북","2020 년","20149",
"재산범죄","전남","2014 년","18925",
"재산범죄","전남","2015 년","19099",
"재산범죄","전남","2016 년","17693",
"재산범죄","전남","2017 년","15289",
"재산범죄","전남","2018 년","17928",
"재산범죄","전남","2019 년","18399",
"재산범죄","전남","2020 년","19823",
"재산범죄","경북","2014 년","27511",
"재산범죄","경북","2015 년","27401",
"재산범죄","경북","2016 년","26578",
"재산범죄","경북","2017 년","25008",
"재산범죄","경북","2018 년","26394",
"재산범죄","경북","2019 년","30087",
"재산범죄","경북","2020 년","30640",
"재산범죄","경남","2014 년","38782",
"재산범죄","경남","2015 년","44275",
"재산범죄","경남","2016 년","39549",
"재산범죄","경남","2017 년","37029",
"재산범죄","경남","2018 년","39264",
"재산범죄","경남","2019 년","43689",
"재산범죄","경남","2020 년","48541",
"재산범죄","제주","2014 년","9923",
"재산범죄","제주","2015 년","9834",
"재산범죄","제주","2016 년","8925",
"재산범죄","제주","2017 년","8537",
"재산범죄","제주","2018 년","9475",
"재산범죄","제주","2019 년","10025",
"재산범죄","제주","2020 년","11076",
"절도","계","2014 년","266784",
"절도","계","2015 년","246424",
"절도","계","2016 년","203573",
"절도","계","2017 년","184355",
"절도","계","2018 년","177458",
"절도","계","2019 년","187629",
"절도","계","2020 년","180067",
"절도","서울","2014 년","59541",
"절도","서울","2015 년","55463",
"절도","서울","2016 년","47005",
"절도","서울","2017 년","41293",
"절도","서울","2018 년","39306",
"절도","서울","2019 년","42362",
"절도","서울","2020 년","38414",
"절도","부산","2014 년","22047",
"절도","부산","2015 년","20215",
"절도","부산","2016 년","16842",
"절도","부산","2017 년","15892",
"절도","부산","2018 년","14464",
"절도","부산","2019 년","14628",
"절도","부산","2020 년","14280",
"절도","대구","2014 년","14623",
"절도","대구","2015 년","12790",
